fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
92	93	0.0258	0.0848	0	100000
92	94	0.0481	0.158	0	100000
92	100	0.0648	0.295	0	100000
92	102	0.0123	0.0559	0	100000
93	94	0.0223	0.0732	0	100000
94	95	0.0132	0.0434	0	100000
94	96	0.0269	0.0869	0	100000
94	100	0.0178	0.058	0	100000
95	96	0.0171	0.0547	0	100000
96	97	0.0173	0.0885	0	100000
98	100	0.0397	0.179	0	100000
99	100	0.018	0.0813	0	100000
100	101	0.0277	0.1262	0	100000
100	103	0.016	0.0525	0	100000
100	104	0.0451	0.204	0	100000
100	106	0.0605	0.229	0	100000
101	102	0.0246	0.112	0	100000
103	104	0.0466	0.1584	0	100000
103	105	0.0535	0.1625	0	100000
103	110	0.03906	0.1813	0	100000
104	105	0.00994	0.0378	0	100000
105	106	0.014	0.0547	0	100000
105	107	0.053	0.183	0	100000
105	108	0.0261	0.0703	0	100000
106	107	0.053	0.183	0	100000
108	109	0.0105	0.0288	0	100000
109	110	0.0278	0.0762	0	100000
110	111	0.022	0.0755	0	100000
110	112	0.0247	0.064	0	100000
114	115	0.0023	0.0104	0	100000
