Hour,WEC_SDGE_biomass_1.0,WEC_SDGE_hydroelectric_pumped_storage_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_2.0,WEC_SDGE_natural_gas_fired_combined_cycle_3.0,WEC_SDGE_natural_gas_fired_combined_cycle_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_1.0,WEC_SDGE_natural_gas_fired_combustion_turbine_2.0,WEC_SDGE_natural_gas_fired_combustion_turbine_3.0,WEC_SDGE_natural_gas_fired_combustion_turbine_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_5.0,WEC_SDGE_natural_gas_fired_combustion_turbine_6.0,WEC_SDGE_natural_gas_fired_combustion_turbine_7.0,WEC_SDGE_natural_gas_fired_combustion_turbine_8.0,WEC_SDGE_natural_gas_fired_combustion_turbine_9.0,WEC_SDGE_natural_gas_fired_combustion_turbine_10.0,WEC_SDGE_natural_gas_fired_combustion_turbine_11.0,WEC_SDGE_natural_gas_fired_combustion_turbine_12.0,WEC_SDGE_onshore_wind_turbine_1.0,WEC_SDGE_small_hydroelectric_1.0,WEC_SDGE_solar_photovoltaic_1.0,WEC_SDGE_naturalgas_ccccsavgcf_0.0,WEC_SDGE_naturalgas_ccavgcf_0.0,WEC_SDGE_naturalgas_ctavgcf_0.0,WEC_SDGE_battery_0.0,WEC_SDGE_naturalgas_ccs100_0.0,WEC_SDGE_landbasedwind_ltrg1_1.0,WEC_SDGE_landbasedwind_ltrg1_2.0,WEC_SDGE_utilitypv_losangeles_1.0,WEC_SDGE_utilitypv_losangeles_2.0
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3336,0.2914,0,1,1,1,1,1,0.194461107,0.398739189,0,0
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3544,0.2911,0,1,1,1,1,1,0.327295542,0.461081207,0,0
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2524,0.2907,0,1,1,1,1,1,0.274773479,0.30208239,0,0
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1034,0.2904,0,1,1,1,1,1,0.121430814,0.118668437,0,0
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0455,0.2901,0,1,1,1,1,1,0.050794065,0.037513413,0,0
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1035,0.2898,0,1,1,1,1,1,0.108404294,0.117518388,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1305,0.2895,0,1,1,1,1,1,0.102256775,0.152144119,0,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3096,0.2891,0.0705,1,1,1,1,1,0.1861431,0.426137745,0.186126664,0.163066715
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1826,0.2888,0.3704,1,1,1,1,1,0.182236999,0.337827206,0.562906146,0.546373427
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3292,0.2885,0.5358,1,1,1,1,1,0.200160995,0.532970667,0.759664118,0.746883631
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1899,0.2882,0.6408,1,1,1,1,1,0.068109088,0.238681138,0.873494685,0.862713218
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2722,0.2879,0.7086,1,1,1,1,1,0.131628543,0.340597749,0.942172468,0.928842366
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2603,0.2876,0.7221,1,1,1,1,1,0.148289382,0.343690962,0.968051136,0.950220108
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3319,0.2872,0.7344,1,1,1,1,1,0.182094038,0.429321587,0.979680836,0.963121176
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2407,0.2869,0.6329,1,1,1,1,1,0.09641251,0.311557353,0.861716151,0.847679496
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2233,0.2866,0.5023,1,1,1,1,1,0.076374777,0.296545446,0.702745676,0.693812847
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.301,0.2863,0.2978,1,1,1,1,1,0.145699397,0.393151611,0.440961123,0.436392069
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2075,0.286,0,1,1,1,1,1,0.112703539,0.297503114,0,0
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1572,0.2856,0,1,1,1,1,1,0.098809496,0.256600469,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1062,0.2853,0,1,1,1,1,1,0.10197708,0.174657673,0,0
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2517,0.285,0,1,1,1,1,1,0.127782613,0.381065071,0,0
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21,0.2847,0,1,1,1,1,1,0.081562892,0.303623378,0,0
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1306,0.2844,0,1,1,1,1,1,0.091821164,0.204634607,0,0
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0791,0.284,0,1,1,1,1,1,0.070636228,0.122586265,0,0
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0812,0.2837,0,1,1,1,1,1,0.095637769,0.149443954,0,0
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0581,0.2834,0,1,1,1,1,1,0.137076259,0.118969232,0,0
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0174,0.2831,0,1,1,1,1,1,0.184423566,0.061872117,0,0
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0002,0.2828,0,1,1,1,1,1,0.080073029,0.024021966,0,0
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2824,0,1,1,1,1,1,0.047690038,0.01268932,0,0
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.066,0.2821,0,1,1,1,1,1,0.076110631,0.120543435,0,0
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1296,0.2818,0,1,1,1,1,1,0.087148085,0.253142595,0,0
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3054,0.2815,0.0093,1,1,1,1,1,0.164304718,0.471353412,0.04008859,0.077450112
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0765,0.2812,0.3393,1,1,1,1,1,0.080086917,0.174081564,0.487779409,0.493891239
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.152,0.2809,0.5081,1,1,1,1,1,0.062099628,0.284270465,0.727990925,0.713812113
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0539,0.2805,0.6311,1,1,1,1,1,0.010734077,0.092820317,0.868342638,0.850957274
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1178,0.2802,0.6952,1,1,1,1,1,0.037544459,0.15657866,0.940630615,0.923623502
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.103,0.2799,0.7045,1,1,1,1,1,0.061564088,0.145507544,0.950101674,0.931077003
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0982,0.2796,0.6879,1,1,1,1,1,0.060488835,0.139056474,0.913589895,0.900401354
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1205,0.2793,0.6215,1,1,1,1,1,0.078819871,0.152161226,0.835149765,0.828240812
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0252,0.2789,0.4901,1,1,1,1,1,0.005955826,0.034678385,0.678074241,0.674687982
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0252,0.2786,0.2973,1,1,1,1,1,0.002738278,0.035802837,0.42736125,0.431426167
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1969,0.2783,0,1,1,1,1,1,0.0461994,0.25339812,0,0
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1845,0.278,0,1,1,1,1,1,0.024750056,0.27773273,0,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.217,0.2777,0,1,1,1,1,1,0.054906156,0.346974999,0,0
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0002,0.2773,0,1,1,1,1,1,0.049037442,0.023936579,0,0
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0691,0.277,0,1,1,1,1,1,0.024351049,0.127675802,0,0
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148,0.2767,0,1,1,1,1,1,0.064948611,0.232428342,0,0
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1271,0.2764,0,1,1,1,1,1,0.053970229,0.201771736,0,0
81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.177,0.2761,0,1,1,1,1,1,0.053275988,0.265790433,0,0
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.211,0.2757,0,1,1,1,1,1,0.092077136,0.312961549,0,0
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0786,0.2754,0,1,1,1,1,1,0.047139842,0.129056752,0,0
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0647,0.2751,0,1,1,1,1,1,0.016571974,0.134035707,0,0
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0572,0.2748,0,1,1,1,1,1,0.066961907,0.141153336,0,0
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1583,0.2745,0,1,1,1,1,1,0.057806022,0.28187269,0,0
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.071,0.2741,0,1,1,1,1,1,0.055641636,0.132652342,0,0
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1368,0.2738,0.0561,1,1,1,1,1,0.04586409,0.185976759,0.165990442,0.141780496
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0185,0.2735,0.3447,1,1,1,1,1,0.114142492,0.015304768,0.519325376,0.506627083
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004,0.2732,0.5064,1,1,1,1,1,0.032166228,0.003371213,0.711929858,0.705898762
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.071,0.2729,0.6016,1,1,1,1,1,0.002779649,0.100336969,0.824429989,0.819171309
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2596,0.2726,0.6668,1,1,1,1,1,0.065182857,0.32960999,0.896600544,0.890437126
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.412,0.2722,0.6856,1,1,1,1,1,0.143345937,0.481730044,0.91922009,0.91002059
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4827,0.2719,0.6737,1,1,1,1,1,0.17611517,0.577704132,0.900813818,0.891175389
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2351,0.2716,0.6339,1,1,1,1,1,0.10956569,0.251690149,0.85403955,0.844095588
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1314,0.2713,0.5064,1,1,1,1,1,0.054073561,0.161427841,0.70342958,0.697523594
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.084,0.271,0.2991,1,1,1,1,1,0.0149297,0.115744442,0.440522879,0.436612666
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0674,0.2706,0,1,1,1,1,1,0.002735979,0.101131193,0,0
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3164,0.2703,0,1,1,1,1,1,0.062734045,0.388559937,0,0
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2753,0.27,0,1,1,1,1,1,0.13772893,0.476290703,0,0
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1387,0.2697,0,1,1,1,1,1,0.05954615,0.223164618,0,0
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0418,0.2694,0,1,1,1,1,1,0.093026266,0.061557874,0,0
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0329,0.269,0,1,1,1,1,1,0.055161007,0.058086276,0,0
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0382,0.2687,0,1,1,1,1,1,0.037616078,0.055689454,0,0
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0923,0.2684,0,1,1,1,1,1,0.067094691,0.140257299,0,0
106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1856,0.2681,0,1,1,1,1,1,0.10384798,0.275639504,0,0
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0486,0.2678,0,1,1,1,1,1,0.048771851,0.066478238,0,0
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0206,0.2674,0,1,1,1,1,1,0.045104716,0.033543564,0,0
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.042,0.2671,0,1,1,1,1,1,0.036215693,0.081033006,0,0
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1437,0.2668,0,1,1,1,1,1,0.05376479,0.249906093,0,0
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0778,0.2665,0,1,1,1,1,1,0.045602873,0.117980853,0,0
112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0526,0.2662,0.0084,1,1,1,1,1,0.017500121,0.082028344,0.034759462,0.055199567
113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0625,0.2658,0.294,1,1,1,1,1,0.026190996,0.115205929,0.41465947,0.434838295
114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0931,0.2655,0.5102,1,1,1,1,1,0.09229432,0.163154155,0.711946547,0.70800519
115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1239,0.2652,0.6211,1,1,1,1,1,0.071930245,0.17933327,0.860931635,0.827482104
116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.104,0.2649,0.6962,1,1,1,1,1,0.062785558,0.133372337,0.934975266,0.922192097
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2039,0.2646,0.7161,1,1,1,1,1,0.158061728,0.249319002,0.945106745,0.931384087
118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1685,0.2643,0.675,1,1,1,1,1,0.098249212,0.217069,0.868524909,0.868952513
119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1915,0.2639,0.6319,1,1,1,1,1,0.098963559,0.246019825,0.851546526,0.837011099
120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3117,0.2636,0.5065,1,1,1,1,1,0.116812646,0.4237535,0.703288317,0.688951969
121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1764,0.2633,0.3145,1,1,1,1,1,0.053210851,0.248475134,0.462805867,0.450828075
122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.092,0.263,0,1,1,1,1,1,0.023755763,0.128927588,0,0
123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0013,0.2627,0,1,1,1,1,1,0.027485546,0.002598744,0,0
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0468,0.2623,0,1,1,1,1,1,0.001161026,0.065799281,0,0
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1092,0.262,0,1,1,1,1,1,0.04792748,0.166912273,0,0
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0595,0.2617,0,1,1,1,1,1,0.048956987,0.096937776,0,0
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0052,0.2614,0,1,1,1,1,1,0.002188398,0.013398817,0,0
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0012,0.2611,0,1,1,1,1,1,0.000270948,0,0,0
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0412,0.2607,0,1,1,1,1,1,0.029537642,0.044560857,0,0
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0955,0.2604,0,1,1,1,1,1,0.063481495,0.093898162,0,0
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0208,0.2601,0,1,1,1,1,1,0.007642032,0.020482266,0,0
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0198,0.2598,0,1,1,1,1,1,0.003403136,0.034649171,0,0
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0295,0.2595,0,1,1,1,1,1,0.006797866,0.050352238,0,0
134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0896,0.2591,0,1,1,1,1,1,0.013346141,0.150225222,0,0
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0565,0.2588,0,1,1,1,1,1,0.012511818,0.083121218,0,0
136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0025,0.2585,0.0491,1,1,1,1,1,0.017436069,0.005235523,0.148173749,0.128057986
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0006,0.2582,0.3583,1,1,1,1,1,0.000441447,0,0.530425787,0.525348544
138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0014,0.2579,0.5285,1,1,1,1,1,0.000698135,0,0.738919377,0.732628584
139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2576,0.6404,1,1,1,1,1,0.00055158,0,0.85643208,0.852792621
140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0003,0.2572,0.7083,1,1,1,1,1,0.014472529,0,0.926600456,0.92348361
141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0088,0.2569,0.7261,1,1,1,1,1,0.04901449,0,0.950909972,0.94622457
142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0353,0.2566,0.7171,1,1,1,1,1,0.108549863,0.014654569,0.934200764,0.932884455
143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0113,0.2563,0.6443,1,1,1,1,1,0.041347072,0.002298994,0.858383834,0.856636882
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0006,0.256,0.5159,1,1,1,1,1,0.006088643,0,0.707929134,0.707753897
145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2556,0.3159,1,1,1,1,1,0.002876261,0,0.456605315,0.458283812
146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0062,0.2553,0,1,1,1,1,1,0.024384115,0,0,0
147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.255,0,1,1,1,1,1,0.005884131,0,0,0
148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0072,0.2547,0,1,1,1,1,1,0.056076631,0.005235523,0,0
149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0114,0.2544,0,1,1,1,1,1,0.021256953,0.004926415,0,0
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0346,0.254,0,1,1,1,1,1,0.052983165,0.002830009,0,0
151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.069,0.2537,0,1,1,1,1,1,0.137137294,0.021983486,0,0
152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0547,0.2534,0,1,1,1,1,1,0.072708473,0.029612973,0,0
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1255,0.2531,0,1,1,1,1,1,0.110660337,0.086681008,0,0
154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0231,0.2528,0,1,1,1,1,1,0.045562819,0,0,0
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0284,0.2524,0,1,1,1,1,1,0.055233583,0.003680322,0,0
